"time","A-series"
2021-07-03 09:16:54,32.2
2021-07-03 21:16:54,31.9
2021-07-04 09:16:54,31.7
2021-07-04 21:16:54,31.8
2021-07-05 09:16:54,32.0
2021-07-05 21:16:54,31.7
2021-07-06 09:16:54,31.6
2021-07-06 21:16:54,32.0
2021-07-07 09:16:54,32.4
2021-07-07 21:16:54,32.8
2021-07-08 09:16:54,32.3
2021-07-08 21:16:54,32.4
2021-07-09 09:16:54,32.0
2021-07-09 21:16:54,32.2
2021-07-10 09:16:54,31.8
2021-07-10 21:16:54,31.7
2021-07-11 09:16:54,31.4
2021-07-11 21:16:54,31.8
2021-07-12 09:16:54,31.3
2021-07-12 21:16:54,31.0
2021-07-13 09:16:54,31.3
2021-07-13 21:16:54,31.4
2021-07-14 09:16:54,31.8
2021-07-14 21:16:54,31.9
2021-07-15 09:16:54,31.5
2021-07-15 21:16:54,31.8
2021-07-16 09:16:54,31.4
2021-07-16 21:16:54,31.6
2021-07-17 09:16:54,32.1
2021-07-17 21:16:54,32.3
2021-07-18 09:16:54,32.5
2021-07-18 21:16:54,32.2
2021-07-19 09:16:54,32.6
2021-07-19 21:16:54,32.9
2021-07-20 09:16:54,33.4
2021-07-20 21:16:54,33.4
2021-07-21 09:16:54,33.1
2021-07-21 21:16:54,33.5
2021-07-22 09:16:54,33.1
2021-07-22 21:16:54,33.2
2021-07-23 09:16:54,32.7
2021-07-23 21:16:54,32.3
2021-07-24 09:16:54,31.9
2021-07-24 21:16:54,32.3
2021-07-25 09:16:54,32.0
2021-07-25 21:16:54,32.1
2021-07-26 09:16:54,31.6
2021-07-26 21:16:54,31.7
2021-07-27 09:16:54,32.1
2021-07-27 21:16:54,31.7
2021-07-28 09:16:54,32.0
2021-07-28 21:16:54,31.6
2021-07-29 09:16:54,31.2
2021-07-29 21:16:54,31.4
2021-07-30 09:16:54,31.5
2021-07-30 21:16:54,31.9
2021-07-31 09:16:54,31.9
2021-07-31 21:16:54,31.6
2021-08-01 09:16:54,31.8
2021-08-01 21:16:54,31.7
2021-08-02 09:16:54,31.5
2021-08-02 21:16:54,32.0
2021-08-03 09:16:54,32.0
2021-08-03 21:16:54,31.7
2021-08-04 09:16:54,31.9
2021-08-04 21:16:54,31.6
2021-08-05 09:16:54,31.4
2021-08-05 21:16:54,31.2
2021-08-06 09:16:54,31.5
2021-08-06 21:16:54,31.7
2021-08-07 09:16:54,31.3
2021-08-07 21:16:54,31.8
2021-08-08 09:16:54,31.6
2021-08-08 21:16:54,31.1
2021-08-09 09:16:54,31.4
2021-08-09 21:16:54,31.4
2021-08-10 09:16:54,31.1
2021-08-10 21:16:54,31.5
2021-08-11 09:16:54,31.1
2021-08-11 21:16:54,31.2
2021-08-12 09:16:54,31.1
2021-08-12 21:16:54,31.3
2021-08-13 09:16:54,31.0
2021-08-13 21:16:54,31.4
2021-08-14 09:16:54,31.0
2021-08-14 21:16:54,30.8
2021-08-15 09:16:54,31.0
2021-08-15 21:16:54,31.0
2021-08-16 09:16:54,30.9
2021-08-16 21:16:54,31.0
2021-08-17 09:16:54,31.3
2021-08-17 21:16:54,30.9
2021-08-18 09:16:54,30.5
2021-08-18 21:16:54,30.7
